visa,doc
"DECRET EXECUTIF n° 04-35 — portant répartition des crédits ouverts, au titre du budget de fonctionnement par la loi de finances pour 2004, au ministre du commerce",DECRET EXECUTIF n° 04-380 — portant virement de crédits au sein du budget de fonctionnement du ministère du commerce.
constitution_1996,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
ORDONNANCE n° 66-155 — portant code de procédure pénale,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
ORDONNANCE n° 66-156 — portant code pénal,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
LOI n° 85-05 — relative à la protection et à la promotion de la santé,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
LOI n° 90-08 — relative à la commune,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
LOI n° 90-09 — relative à la wilaya,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
"LOI n° 01-14 — relative à l'organisation, la sécurité et la police de la circulation routière",DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
LOI n° 03-10 — relative à la protection de l'environnement dans le cadre du développement durable,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
le décret n° 86-250 portant création de l'office national de métrologie légale (ONML),DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET PRESIDENTIEL n° 04-136 — portant nomination du Chef du Gouvernement,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET PRESIDENTIEL n° 04-138 — portant nomination des membres du Gouvernement,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 89-165 — fixant les attributions du ministre des transports,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 90-397 — fixant les règles d'organisation et de fonctionnement des services des mines et de l'industrie de wilaya,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 91-538 — relatif au contrôle et aux vérifications de conformité des instruments de mesure,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 98-69 — portant création et statuts de l'institut algérien de normalisation ( IANOR),DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 98-271 — portant réaménagement des statuts du centre national pour l'étude et la recherche en inspection technique automobile (CNERITA) et modification de sa dénomination,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 03-223 — relatif à l'organisation du contrôle technique des véhicules automobiles et les modalités de son exercice,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 03-224 — fixant les tarifs des prestations du contrôle technique des véhicules automobiles,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 03-262 — fixant l'organisation et le fonctionnement du centre national des permis de conduire,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
"DECRET EXECUTIF n° 03-410 — fixant les seuils limites des émissions des fumées, des gaz toxiques et des bruits par les véhicules automobiles",DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 03-451 — définissant les règles de sécurité applicables aux activités portant sur les matières et produits chimiques dangereux ainsi que les récipients de gaz sous pression,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
DECRET EXECUTIF n° 03-452 — fixant les conditions particulières relatives au transport routier de matières dangereuses,DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
"DECRET EXECUTIF n° 03-502 — portant mission, organisation et fonctionnement du centre national de prévention et de sécurité routières",DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.
constitution_1996,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
Convention unique sur les stupéfiants de 1961 adoptée par décret n° 63-343,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
Convention de 1971 sur les substances psychotropes adoptée par décret n° 77-177,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
Protocole de 1972 modifiant la Convention unique sur les stupéfiants de 1961 adopté par décret présidentiel n° 02-61,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
"Convention des Nations unies contre le trafic illicite de stupéfiants et de substances psychotropes de 1988, adoptée par décret présidentiel n° 95-41",LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
ORDONNANCE n° 66-155 — portant code de procédure pénale,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
ORDONNANCE n° 66-156 — portant code pénal,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
ORDONNANCE n° 66-211 — relative à la situation des étrangers en Algérie,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
LOI n° 79-07 — portant code des douanes,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
LOI n° 85-05 — relative à la protection et à la promotion de la santé,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
LOI n° 87-17 — relative à la protection phytosanitaire,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
"LOI n° 01-14 — relative à l'organisation, la sécurité et la police de la circulation routière",LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
LOI n° 03-10 — relative à la protection de l'environnement dans le cadre du développement durable,LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.
constitution_1996,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
ORDONNANCE n° 66-154 — portant code de procédure civile,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
ORDONNANCE n° 66-155 — portant code de procédure pénale,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
ORDONNANCE n° 66-156 — portant code pénal,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
ORDONNANCE n° 75-35 — portant plan comptable national,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
ORDONNANCE n° 75-58 — portant code civil,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 81-10 — relative aux conditions d'emploi des travailleurs étrangers,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 84-17 — relative aux lois de finances,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 88-01 — portant loi d'orientation sur les entreprises publiques économiques,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 90-03 — relative à l'inspection du travail,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 90-08 — relative à la commune,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 90-09 — relative à la wilaya,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 90-11 — relative aux relations de travail,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 90-30 — portant loi domaniale,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
LOI n° 02-09 — relative à la protection et la promotion des personnes handicapées,LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.
constitution_1996,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
ORDONNANCE n° 66-78 — portant création et organisation de l'institut national de la recherche agronomique d'Algérie,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
ORDONNANCE n° 75-35 — portant plan comptable national,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
LOI n° 98-11 — portant loi d'orientation et de programme à projection quinquennale sur la recherche scientifique et le développement technologique 1998-2002,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
DECRET PRESIDENTIEL n° 04-136 — portant nomination du Chef du Gouvernement,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
DECRET PRESIDENTIEL n° 04-138 — portant nomination des membres du Gouvernement,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
DECRET EXECUTIF n° 90-12 — fixant les attributions du ministre de l'agriculture,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 92-22 — portant création, organisation et fonctionnement des commissions intersectorielles de promotion, de programmation et d'évaluation de la recherche scientifique et technique",DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
DECRET EXECUTIF n° 93-337 — portant extension des dispositions du décret n° 86-52 du 18 mars 1986 portant statut-type des travailleurs de la recherche scientifique et technique aux personnels de recherche et de soutien exerçant au sein de l'institut national de la recherche agronomique d'Algérie et de l'institut national de la recherche forestière,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
DECRET EXECUTIF n° 99-243 — fixant l'organisation et le fonctionnement des comités sectoriels permanents de la recherche scientifique et du développement technologique,DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-244 — fixant les règles de création, d'organisation et de fonctionnement du laboratoire de recherche",DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-256 — fixant les modalités de création, d'organisation et de fonctionnement de l'établissement public à caractère scientifique et technologique",DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-257 — fixant les modalités de création, d'organisation et de fonctionnement des unités de recherche",DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-258 — fixant les modalités d'exercice du contrôle financier a posteriori sur l'établissement public à caractère scientifique, culturel et professionnel, l'établissement public à caractère scientifique et technologique et autres entités de recherche",DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.
constitution_1996,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
ORDONNANCE n° 75-35 — portant plan comptable national,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
LOI n° 98-11 — portant loi d'orientation et de programme à projection quinquennale sur la recherche scientifique et le développement technologique 1998-2002,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
DECRET PRESIDENTIEL n° 04-136 — portant nomination du Chef du Gouvernement,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
DECRET PRESIDENTIEL n° 04-138 — portant nomination des membres du Gouvernement,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
DECRET EXECUTIF n° 90-12 — fixant les attributions du ministre de l'agriculture,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 92-22 — portant création, organisation et fonctionnement des commissions intersectorielles de promotion, de programmation et d'évaluation de la recherche scientifique et technique",DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
DECRET EXECUTIF n° 93-337 — portant extension des dispositions du décret n° 86-52 du 18 mars 1986 portant statut-type des travailleurs de la recherche scientifique et technique aux personnels de recherche et de soutien exerçant au sein de l'institut national de la recherche agronomique d'Algérie et de l'institut national de la recherche forestière,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
DECRET EXECUTIF n° 99-243 — fixant l'organisation et le fonctionnement des comités sectoriels permanents de la recherche scientifique et du développement technologique,DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-244 — fixant les règles de création, d'organisation et de fonctionnement du laboratoire de recherche",DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-256 — fixant les modalités de création, d'organisation et de fonctionnement de l'établissement public à caractère scientifique et technologique",DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-257 — fixant les modalités de création, d'organisation et de fonctionnement des unités de recherche",DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
"DECRET EXECUTIF n° 99-258 — fixant les modalités d'exercice du contrôle financier a posteriori sur l'établissement public à caractère scientifique, culturel et professionnel, l'établissement public à caractère scientifique et technologique et autres entités de recherche",DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.
constitution_1996,DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
LOI n° 03-03 — relative aux zones d'expansion et sites touristiques,DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
LOI n° 90-08 — relative à la commune,DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
LOI n° 90-09 — relative à la wilaya,DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
LOI n° 98-04 — relative à la protection du patrimoine culturel,DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
DECRET PRESIDENTIEL n° 04-136 — portant nomination du Chef du Gouvernement,DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
DECRET PRESIDENTIEL n° 04-138 — portant nomination des membres du Gouvernement,DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
"DECRET EXECUTIF n° 91-176 — fixant les modalités d'instruction et de délivrance du certificat d'urbanisme, du permis de lotir, du certificat de morcellement, du permis de construire, du certificat de conformité et du permis de démolir",DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.
constitution_1996,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
"LOI n° 86-14 — relative aux activités de prospection, de recherche, d'exploitation et de transport par canalisation des hydrocarbures","DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
LOI n° 90-30 — portant loi domaniale,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
LOI n° 03-10 — relative à la protection de l'environnement dans le cadre du développement durable,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
DECRET PRESIDENTIEL n° 95-102 — portant création du Conseil national de l'énergie,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
"DECRET PRESIDENTIEL n° 98-48 — portant statuts de la société nationale pour la recherche, la production, le transport, la transformation et la commercialisation des hydrocarbures “SONATRACH”","DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
DECRET PRESIDENTIEL n° 04-136 — portant nomination du Chef du Gouvernement,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
DECRET PRESIDENTIEL n° 04-138 — portant nomination des membres du Gouvernement,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
DECRET EXECUTIF n° 94-43 — fixant les règles de conservation des gisements d'hydrocarbures et de protection des aquifères associés,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
DECRET EXECUTIF n° 96-214 — fixant les attributions du ministre de l'énergie et des mines,"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b)."
constitution_1996,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
"LOI n° 86-14 — relative aux activités de prospection, de recherche, d'exploitation et de transport par canalisation des hydrocarbures","DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
LOI n° 90-30 — portant loi domaniale,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
LOI n° 03-10 — relative à la protection de l'environnement dans le cadre du développement durable,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
DECRET PRESIDENTIEL n° 95-102 — portant création du Conseil national de l'énergie,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
"DECRET PRESIDENTIEL n° 98-48 — portant statuts de la société nationale pour la recherche, la production, le transport, la transformation et la commercialisation des hydrocarbures “SONATRACH ""","DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
DECRET PRESIDENTIEL n° 04-136 — portant nomination du Chef du Gouvernement,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
DECRET PRESIDENTIEL n° 04-138 — portant nomination des membres du Gouvernement,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
"DECRET EXECUTIF n° 93-64 — portant approbation du contrat pour la recherche et l'exploitation des hydrocarbures sur les périmètres “Ouled- N’Sir"" (bloc :215) et “Menzel Lejmat"" (bloc : 405), conclu à Alger le 24 novembre 1992 entre l'entreprise nationale “SONATRACH "" et la société LL & E Algeria Ltd","DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
"DECRET EXECUTIF n° 93-211 — portant attribution d'un permis de recherche d'hydrocarbures à l'entreprise nationale “SONATRACH” sur le périmètre dénommé “ Menzel Lejmat"" (bloc : 405 )","DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
DECRET EXECUTIF n° 94-43 — fixant les règles de conservation des gisements d'hydrocarbures et de protection des aquifères associés,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
DECRET EXECUTIF n° 96-214 — fixant les attributions du ministre de l'énergie et des mines,"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
"DECRET EXECUTIF n° 98-304 — portant renouvellement du permis de recherche d'hydrocarbures attribué à la société nationale “SONATRACH"" par le décret exécutif n° 93-211 sur le périmètre dénommé “Menzel Lejmat"" (bloc 405)","DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
"DECRET EXECUTIF n° 04-64 — portant attribution à la société nationale ""SONATRACH"" d'une autorisation provisoire d'exploiter les puits MLW-1, MLC-1, KMD-1, MLNW-1-F1, MLNW-1-F2 et MLNW-1-TAGI, situés dans le périmètre de recherche dénommé Menzel Lejmat (bloc: 405 a)","DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a)."
constitution_1996,"DÉCRET EXÉCUTIF n° 04-426 — portant attribution à la société nationale “SONATRACH” d'un permis d'exploitation du gisement d'hydrocarbures de ""Menzel Lejmat Nord-Ouest- F1 (MLNW-F1) réservoir carbonifère F1"" situé dans le périmètre de recherche denommé ""Menzel Lejmat"" (bloc : 405 a)."
"LOI n° 86-14 — relative aux activités de prospection, de recherche, d'exploitation et de transport par canalisation des hydrocarbures","DÉCRET EXÉCUTIF n° 04-426 — portant attribution à la société nationale “SONATRACH” d'un permis d'exploitation du gisement d'hydrocarbures de ""Menzel Lejmat Nord-Ouest- F1 (MLNW-F1) réservoir carbonifère F1"" situé dans le périmètre de recherche denommé ""Menzel Lejmat"" (bloc : 405 a)."
LOI n° 90-30 — portant loi domaniale,"DÉCRET EXÉCUTIF n° 04-426 — portant attribution à la société nationale “SONATRACH” d'un permis d'exploitation du gisement d'hydrocarbures de ""Menzel Lejmat Nord-Ouest- F1 (MLNW-F1) réservoir carbonifère F1"" situé dans le périmètre de recherche denommé ""Menzel Lejmat"" (bloc : 405 a)."
